FILTER,WAVELENGTH,APER#0.04,APER#0.08,APER#0.12,APER#0.16,APER#0.20,APER#0.24,APER#0.28,APER#0.32,APER#0.36,APER#0.40,APER#0.44,APER#0.48,APER#0.51,APER#0.55,APER#0.59,APER#0.63,APER#0.67,APER#0.71,APER#0.75,APER#0.79,APER#0.83,APER#0.87,APER#0.91,APER#0.95,APER#0.99,APER#1.03,APER#1.07,APER#1.11,APER#1.15,APER#1.19,APER#1.23,APER#1.27,APER#1.31,APER#1.35,APER#1.39,APER#1.43,APER#1.47,APER#1.50,APER#1.54,APER#1.58,APER#1.62,APER#1.66,APER#1.70,APER#1.74,APER#1.78,APER#1.82,APER#1.86,APER#1.90,APER#1.94,APER#1.98,APER#6.0
F658N,6584.0242503567215,0.27057,0.56758,0.73441,0.81189,0.83881,0.85574,0.87283,0.88703,0.89559,0.90299,0.91096,0.91841,0.92304,0.92625,0.92967,0.93385,0.93716,0.93961,0.94252,0.94544,0.9474,0.94867,0.95005,0.95223,0.95417,0.95588,0.95754,0.95886,0.96024,0.9614,0.9626,0.96357,0.96429,0.96496,0.96518,0.96729,0.96843,0.96951,0.97021,0.97091,0.97161,0.97231,0.97301,0.97371,0.97441,0.97511,0.97581,0.97651,0.97721,0.97791,1.0
F665N,6655.876371156528,0.26911,0.57072,0.73807,0.81683,0.843,0.85929,0.87575,0.88957,0.89814,0.9055,0.91342,0.92138,0.92653,0.93055,0.9345,0.93852,0.94135,0.94322,0.94528,0.94771,0.94984,0.95122,0.95275,0.95412,0.95552,0.95706,0.95814,0.95927,0.96015,0.9603,0.961,0.96213,0.96349,0.96488,0.96628,0.96723,0.96837,0.96944,0.97013,0.97082,0.97151,0.97219,0.97288,0.97357,0.97426,0.97495,0.97564,0.97632,0.97701,0.9777,1.0
F673N,6765.938723944207,0.14981,0.4072,0.63442,0.76836,0.82545,0.85245,0.8697,0.88349,0.89433,0.9034,0.9109,0.91786,0.92371,0.92786,0.93114,0.93432,0.93728,0.93995,0.94159,0.94303,0.94491,0.94738,0.94954,0.95141,0.95318,0.95518,0.95688,0.95822,0.95964,0.96119,0.96293,0.96402,0.96482,0.96577,0.96655,0.96714,0.96826,0.96933,0.97,0.97067,0.97134,0.97201,0.97268,0.97335,0.97403,0.9747,0.97537,0.97604,0.97671,0.97738,1.0
F689M,6876.754677915856,0.14351,0.40304,0.63365,0.76805,0.82761,0.85538,0.87208,0.88562,0.89658,0.90538,0.9128,0.91996,0.92593,0.93078,0.93481,0.93812,0.94125,0.9439,0.94614,0.94806,0.95054,0.95263,0.95417,0.95534,0.95603,0.9565,0.95739,0.95863,0.95977,0.96099,0.96168,0.96276,0.96376,0.96444,0.96569,0.96704,0.96816,0.96922,0.96987,0.97052,0.97118,0.97183,0.97248,0.97314,0.97379,0.97444,0.9751,0.97575,0.9764,0.97706,1.0
F680N,6877.596410006465,0.26009,0.55813,0.72929,0.81393,0.84253,0.85865,0.87408,0.88885,0.89831,0.90514,0.9122,0.92015,0.926,0.92959,0.93282,0.93669,0.9405,0.94277,0.94458,0.94701,0.94962,0.95147,0.95268,0.95347,0.95446,0.9557,0.95662,0.95728,0.95849,0.95972,0.96115,0.96206,0.96299,0.96445,0.96611,0.96704,0.96816,0.96921,0.96987,0.97052,0.97117,0.97183,0.97248,0.97314,0.97379,0.97444,0.9751,0.97575,0.9764,0.97706,1.0
F600LP,7468.1162099475605,0.23807,0.54066,0.716,0.8063,0.84206,0.85952,0.8744,0.88752,0.89801,0.90627,0.91337,0.91966,0.92488,0.92918,0.93308,0.9366,0.93959,0.94205,0.9444,0.9467,0.94876,0.95046,0.95211,0.95348,0.95471,0.95584,0.95693,0.95797,0.95909,0.96016,0.96126,0.96223,0.96318,0.9642,0.96526,0.96618,0.96722,0.96821,0.96887,0.96954,0.97021,0.97088,0.97155,0.97222,0.97289,0.97356,0.97423,0.9749,0.97557,0.97624,1.0
F763M,7614.370539911813,0.26773,0.55477,0.7152,0.81145,0.84248,0.85692,0.87002,0.88439,0.89693,0.90387,0.90954,0.91542,0.92223,0.92819,0.93206,0.93516,0.93845,0.94164,0.94411,0.94662,0.9492,0.95133,0.95338,0.95513,0.95628,0.9567,0.95778,0.95889,0.95942,0.95955,0.95992,0.96149,0.96251,0.96333,0.96488,0.96589,0.96691,0.96787,0.96855,0.96924,0.96992,0.9706,0.97128,0.97197,0.97265,0.97333,0.97401,0.9747,0.97538,0.97606,1.0
F775W,7651.363332933713,0.26053,0.54776,0.70804,0.80632,0.84195,0.85724,0.8703,0.88415,0.89622,0.90392,0.90992,0.91612,0.92253,0.92793,0.93181,0.93475,0.93778,0.94072,0.94315,0.94517,0.94709,0.94902,0.95086,0.95249,0.95393,0.95516,0.95628,0.95725,0.9585,0.95983,0.9611,0.96196,0.96298,0.96398,0.96485,0.96583,0.96684,0.9678,0.96849,0.96917,0.96986,0.97054,0.97123,0.97191,0.9726,0.97328,0.97397,0.97465,0.97534,0.97602,1.0
F814W,8039.056204190104,0.2385,0.527,0.686,0.7918,0.836,0.8542,0.8675,0.8809,0.8932,0.9022,0.9087,0.9144,0.9189,0.9243,0.9286,0.9321,0.9353,0.9383,0.9411,0.9434,0.9455,0.9476,0.9495,0.9512,0.9528,0.9543,0.9556,0.9569,0.958,0.959,0.9599,0.9609,0.9618,0.9627,0.9637,0.9646,0.9654,0.9661,0.9669,0.9677,0.9685,0.9693,0.9701,0.9708,0.9716,0.9724,0.9732,0.9739,0.9746,0.9753,1.0
F845M,8439.056519699327,0.2385,0.527,0.686,0.7918,0.836,0.8542,0.8675,0.8809,0.8932,0.9022,0.9087,0.9144,0.9189,0.9243,0.9286,0.9321,0.9353,0.9383,0.9411,0.9434,0.9455,0.9476,0.9495,0.9512,0.9528,0.9543,0.9556,0.9569,0.958,0.959,0.9599,0.9609,0.9618,0.9627,0.9637,0.9646,0.9654,0.9661,0.9669,0.9677,0.9685,0.9693,0.9701,0.9708,0.9716,0.9724,0.9732,0.9739,0.9746,0.9753,1.0
F850LP,9176.12606935624,0.2385,0.527,0.686,0.7918,0.836,0.8542,0.8675,0.8809,0.8932,0.9022,0.9087,0.9144,0.9189,0.9243,0.9286,0.9321,0.9353,0.9383,0.9411,0.9434,0.9455,0.9476,0.9495,0.9512,0.9528,0.9543,0.9556,0.9569,0.958,0.959,0.9599,0.9609,0.9618,0.9627,0.9637,0.9646,0.9654,0.9661,0.9669,0.9677,0.9685,0.9693,0.9701,0.9708,0.9716,0.9724,0.9732,0.9739,0.9746,0.9753,1.0
F953N,9530.578824114424,0.2385,0.527,0.686,0.7918,0.836,0.8542,0.8675,0.8809,0.8932,0.9022,0.9087,0.9144,0.9189,0.9243,0.9286,0.9321,0.9353,0.9383,0.9411,0.9434,0.9455,0.9476,0.9495,0.9512,0.9528,0.9543,0.9556,0.9569,0.958,0.959,0.9599,0.9609,0.9618,0.9627,0.9637,0.9646,0.9654,0.9661,0.9669,0.9677,0.9685,0.9693,0.9701,0.9708,0.9716,0.9724,0.9732,0.9739,0.9746,0.9753,1.0
FFFFF,11000.000000000000,0.2385,0.527,0.686,0.7918,0.836,0.8542,0.8675,0.8809,0.8932,0.9022,0.9087,0.9144,0.9189,0.9243,0.9286,0.9321,0.9353,0.9383,0.9411,0.9434,0.9455,0.9476,0.9495,0.9512,0.9528,0.9543,0.9556,0.9569,0.958,0.959,0.9599,0.9609,0.9618,0.9627,0.9637,0.9646,0.9654,0.9661,0.9669,0.9677,0.9685,0.9693,0.9701,0.9708,0.9716,0.9724,0.9732,0.9739,0.9746,0.9753,1.0
